tweet,entities
"Aah, that would be the ""Phantom Zone"" where Kryptonian crooks are sent to live in limbo for eternity.

#auspol https://t.co/aL2yWCudE5","['Aah', 'Phantom', 'Zone', 'Kryptonian', '#auspol']"
Re-live the New Year's Day classic that kick-started Michael Bevan's career - and remember to vote for him as Australia's greatest ODI player: https://t.co/vOJdDnPN78 https://t.co/iIAzMCcKrr,"['Re', 'New', 'Year', 'Day', 'Michael', 'Bevan', 'Australia']"
"Love the fact that UK viewers can't vote by text... stupid. Anyway, #Australia has my vote #Eurovision","['Love', 'Anyway', '#Australia', '#Eurovision']"
Preferences are key to this election. Do research beforehand so u know which number to place beside @ candidate/party. It's VIP you read &amp; follow instructions regarding the number of preferences u MUST place on ballot in both HOR &amp; Senate for vote to be valid. #auspol #ausvotes https://t.co/PRKno5rN1c,"['Preferences', 'Do', 'It', 'Senate', '#auspol', '#ausvotes']"
Imagine what this swing to the LNP would be like if all those young people hadnt signed up for SSM vote! Fck me #AusVotes2019 #auspol,"['Imagine', 'Fck', '#AusVotes2019', '#auspol']"
"Election 2019: Anthony Albanese to run for Labor leader, Tanya Plibersek 'considering' a tilt - Australia Votes - Federal Election 2019 - Politics - ABC News (Australian Broadcasting Corporation)
My vote goes to Albo! https://t.co/VyOA825pgD","['Election', 'Anthony', 'Albanese', 'Labor', 'Tanya', 'Plibersek', 'Australia', 'Votes', 'Federal', 'Election', 'Politics', 'News', 'Australian', 'Broadcasting', 'Corporation', 'My', 'Albo']"
making the important distinction between building @LiberalAus supporters’ economy and securing everyone else’s future ... #auspol #election2019 #LiberalCampaignLaunch https://t.co/p6cNHDJGCf,"['@LiberalAus', '#auspol', '#election2019', '#LiberalCampaignLaunch']"
"For the record no one asked for my opinion,    no one #ausvotes #AUSVote19 #australiavotes #AUSVote2019 #auspol19","['For', '#ausvotes', '#AUSVote19', '#australiavotes', '#AUSVote2019', '#auspol19']"
"@JoshFrydenberg @3AWNeilMitchell @3AW693 @Bowenchris Weezle words from the weezle, no free toilet upgrade today? What about an @ASX investigation? #ToddCorporation prosecution maybe? Now that would be nice!

#auspol #ausbiz","['@JoshFrydenberg', '@3AWNeilMitchell', '@3AW693', '@Bowenchris', 'Weezle', 'What', '@ASX', '#ToddCorporation', 'Now', '#auspol', '#ausbiz']"
"Also in this - #7News reveals Chris Bowen will tomorrow announce whether he’ll run for Labor leadership...and the Labor MP in the very close seat of Bass, Tas is preparing to concede - he’s begun packing up his office... Also -PM won’t announce Ministry before the weekend #auspol https://t.co/vzg8N7TPSH","['Also', '#7News', 'Chris', 'Bowen', 'Labor', 'Labor', 'Bass', 'Tas', 'Also', 'Ministry', '#auspol']"
